strace + skipgram (window 5):
    ls | ls:
        cat -b /Documents/The-Boys/Images: 46 | 40013
        cat -b /Pictures/Screenshots/'Picture3(sorting&searching).png': 52 | 40020
        cat -A /Documents/circuitos/README.md: 46 | 39249
    grep | ls:
        ls -t /Pictures/Screenshots/'Picture4(strong-password).png': 2422 | 48536
        ls  /Pictures/Screenshots/Results_Attack1.png: 2708 | 47817
        ls -S /Pictures/Screenshots/Results..png: 2426 | 46715
        ls * /Documents/Computer-Science-Freshmen-at-UFPR/CI1056: 2764 | 47316
        ls -s /snap/spotify/82: 2416 | 46537
        ls / /Documents/Sorting-and-Searching-Algorithms/tp.c: 6804 | 48342
        ls -S /Downloads/entrada.txt: 2426 | 47604
        ls .. /Downloads/coord.o: 4728 | 47639
        ls / /Downloads/testes/entrada1.txt: 6808 | 47648
        ls -lh /snap/snapd-desktop-integration/83: 2276 | 48640


ftrace + sliding_window (window 5):
    ls | ls:
        ls -lh /Downloads/firefox/firefox-bin.sig: 35 | 48125
        ls -lh /Downloads/Generator2.py: 35 | 47267
        ls *.txt /Documents/Computer-Science-Freshmen-at-UFPR/CM311: 35 | 47402
        ls -1 /snap/firefox/common: 35 | 46426
        ls -s /Documents/Rubiks05.github.io/index.html: 35 | 47368
        ls -l /Pictures/Screenshots/fake: 35 | 48388
        ls * /snap/snapd-desktop-integration/83: 35 | 47212
        ls -lh /snap/spotify/current: 35 | 48377
        ls -R /Downloads/index.html: 35 | 46924
        ls / /Documents/Sorting-and-Searching-Algorithms/tp.c.txt: 35 | 48564
    ls | grep:
        grep -c "c" /Videos/: 15350 | 50746
        grep -x "c" /Public/teste.txt: 15265 | 51544
        grep -w "c" /fake/: 15320 | 51035
        grep -n "a" /Teste/teste.txt: 15310 | 50756
        grep -w "c" /Documents/: 15345 | 51011
        grep -l "b" /Videos/teste.txt: 15325 | 50433
        grep -A "f" /Templates/: 15230 | 48605
        grep -c "b" /Public/teste.txt: 15330 | 50574
        grep -i "f" /Downloads/: 15330 | 52966
        grep -n "b" /fake/: 15425 | 51617
    ls | cat:
        cat -T /Documents/Rubiks05.github.io/index.html: 165 | 40498
        cat -v /Documents/Rubiks05.github.io/index.html: 210 | 39457
        cat -n /Documents/Computer-Science-Freshmen-at-UFPR/CI1056: 225 | 39538
        cat  /Documents/circuitos/imgs: 250 | 39320
        cat -A /Pictures/Screenshots/Results_IC.png: 170 | 39399
        cat -v /Documents/Sorting-and-Searching-Algorithms/tp: 275 | 39858
        cat -E /Pictures/Screenshots/'Picture3(sorting&searching).png': 205 | 39013
        cat -v /snap/snapd-desktop-integration/83: 195 | 39539
        cat -E /fake: 220 | 38776
        cat -n /Documents/Strong-Password-Generator/README.md: 220 | 39294

    grep | grep:
        grep -i "f" /Videos/: 35 | 51839
        grep -B "d" /Public/teste.txt: 35 | 49744
        grep -w "c" /Videos/: 35 | 53729
        grep -n "c" /Pictures/: 35 | 50196
        grep -v "b" /Public/: 35 | 50695
        grep  "c" /Videos/: 35 | 49680
        grep -v "e" /Templates/: 35 | 50221
        grep -A "e" /Desktop/: 35 | 50445
        grep -c "b" /Pictures/: 35 | 50556
        grep -A "c" /Videos/teste.txt: 35 | 48470
    grep | cat:
        cat -v /Documents/Computer-Science-Freshmen-at-UFPR/CM304: 235 | 39313
        cat -e /Downloads/entrada.txt: 225 | 41960
        cat -s /Documents/The-Boys/Images: 230 | 39459
        cat -T /Documents/Strong-Password-Generator/CONTRIBUTING.md: 205 | 39514
        cat -v /Documents/Strong-Password-Generator/CONTRIBUTING.md: 210 | 39867
        cat  /Documents/The-Boys/Images: 200 | 38968
        cat -n /Documents/Rubiks05.github.io/Script.js: 220 | 39322
        cat -e /Videos: 215 | 39217
        cat  /Documents/circuitos/imgs: 200 | 39320
        cat -T /Documents/Sorting-and-Searching-Algorithms/tp.c.txt: 185 | 38872
    grep | ls
        ls .. /Downloads/forrest-sense-of-self-1.pdf: 3265 | 47588
        ls -a /Documents/Strong-Password-Generator/passwords.txt: 1790 | 47320
        ls / /Public: 4395 | 48351
        ls -t /Downloads/main.py: 1850 | 47968
        ls -l /Downloads/forrest-sense-of-self-1.pdf: 1745 | 49307
        ls * /Documents/circuitos/README.md: 2120 | 46921
        ls .. /Documents/The-Boys/theboys.: 3300 | 48120
        ls -a /snap/spotify/current: 1785 | 46536
        ls -lh /Downloads/coord.o: 1745 | 48689
        ls  /Pictures/Screenshots/'Screenshot from 2025-01-30 19-09-58.png': 4035 | 48158

    cat | cat:
        cat -s /Music: 35 | 41017
        cat -n /snap/spotify/common: 35 | 39703
        cat -b /Documents/Computer-Science-Freshmen-at-UFPR/CM310: 35 | 39079
        cat -T /snap/spotify/common: 35 | 39126
        cat -b /Documents/Scientific-Calculator/LICENSE: 35 | 39638
        cat -n /Pictures/Images/grade-bcc.png: 35 | 39080
        cat -s /snap/snapd-desktop-integration/common: 35 | 39867
        cat -b /Pictures/Screenshots/'Picture4(strong-password).png': 35 | 38620
        cat -v /Documents/Strong-Password-Generator/Generator.py: 35 | 39132
        cat -n /Documents/Rubiks05.github.io/index.html: 35 | 39193
    cat | grep:
        grep  "f" /Desktop/: 15960 | 49534
        grep -w "b" /Desktop/: 16075 | 52631
        grep -l "b" /Pictures/: 16115 | 50798
        grep -A ' ' /Desktop/teste.txt: 16040 | 50308
        grep -i "e" /Downloads/: 16085 | 50715
        grep -C "c" /Templates/teste.txt: 15970 | 49764
        grep -c ' ' /Pictures/teste.txt: 16130 | 50551
        grep -l "b" /Videos/teste.txt: 16075 | 50433
        grep -A "e" /Public/teste.txt: 15880 | 48694
        grep -A "c" /Teste/: 15885 | 49553
    cat | ls:
        ls -S /Templates: 2285 | 48192
        ls -s /Documents/Rubiks05.github.io/style.css: 2310 | 48222
        ls  /Downloads/forrest-sense-of-self.pdf: 2475 | 47011
        ls -l /Pictures/Images/fake: 2240 | 47278
        ls / /Documents/Sorting-and-Searching-Algorithms/tp.c.txt: 4850 | 48564
        ls -1 /Templates: 2385 | 47142
        ls -i /Documents/circuitos/trabalho_semaforos.md: 2410 | 47043
        ls -S /Pictures/Screenshots/'Screenshot from 2025-01-30 19-09-58.png': 3320 | 47634
        ls -1 /Documents/Sorting-and-Searching-Algorithms/Logs: 2390 | 48021
        ls .. /Documents/Sorting-and-Searching-Algorithms/tp.c.txt: 3810 | 48408
